"NDB_No","Shrt_Desc","Water_(g)","Energ_Kcal","Protein_(g)","Lipid_Tot_(g)","Ash_(g)","Carbohydrt_(g)","Fiber_TD_(g)","Sugar_Tot_(g)","Calcium_(mg)","Iron_(mg)","Magnesium_(mg)","Phosphorus_(mg)","Potassium_(mg)","Sodium_(mg)","Zinc_(mg)","Copper_mg)","Manganese_(mg)","Selenium_(µg)","Vit_C_(mg)","Thiamin_(mg)","Riboflavin_(mg)","Niacin_(mg)","Panto_Acid_mg)","Vit_B6_(mg)","Folate_Tot_(µg)","Folic_Acid_(µg)","Food_Folate_(µg)","Folate_DFE_(µg)","Choline_Tot_ (mg)","Vit_B12_(µg)","Vit_A_IU","Vit_A_RAE","Retinol_(µg)","Alpha_Carot_(µg)","Beta_Carot_(µg)","Beta_Crypt_(µg)","Lycopene_(µg)","Lut+Zea_ (µg)","Vit_E_(mg)","Vit_D_µg","Vit_D_IU","Vit_K_(µg)","FA_Sat_(g)","FA_Mono_(g)","FA_Poly_(g)","Cholestrl_(mg)","GmWt_1","GmWt_Desc1","GmWt_2","GmWt_Desc2","Refuse_Pct"
"2020","GARLIC POWDER","6.45","331","16.55","0.73","3.54","72.73","9","2.43","79","5.65","77","414","1193","60","2.99","0.533","0.979","23.9","1.2","0.435","0.141","0.796","0.743","1.654","47","0","47","47","67.5","0","0","0","0","0","0","0","0","0","0.67","0","0","0.4","0.249","0.115","0.178","0","3.1","1 tsp","9.7","1 tbsp","0"
"2021","GINGER,GROUND","9.94","335","8.98","4.24","5.22","71.62","14.1","3.39","114","19.8","214","168","1320","27","3.64","0.48","33.3","55.8","0.7","0.046","0.17","9.62","0.477","0.626","13","0","13","13","41.2","0","30","2","0","0","18","0","0","0","0","0","0","0.8","2.599","0.479","0.929","0","1.8","1 tsp","5.2","1 tbsp","0"
"2026","ONION POWDER","5.39","341","10.41","1.04","4.04","79.12","15.2","6.63","384","3.9","113","322","985","73","4.05","0.59","1.3","14.3","23.4","0.457","0.08","0.321","0.732","0.718","64","0","64","64","39","0","0","0","0","0","0","0","0","0","0.27","0","0","4.1","0.219","0.202","0.31","0","2.4","1 tsp","6.9","1 tbsp","0"
"2028","PAPRIKA","11.24","282","14.14","12.89","7.74","53.99","34.9","10.34","229","21.14","178","314","2280","68","4.33","0.713","1.59","6.3","0.9","0.33","1.23","10.06","2.51","2.141","49","0","49","49","51.5","0","49254","2463","0","595","26162","6186","0","18944","29.1","0","0","80.3","2.14","1.695","7.766","0","2.3","1 tsp","6.8","1 tbsp","0"
"2035","PUMPKIN PIE SPICE","8.46","342","5.76","12.6","3.9","69.28","14.8","7.76","682","19.71","136","118","663","52","2.37","0.484","15.844","9.3","23.4","0.131","0.137","2.243","","0.4","24","0","24","24","20.8","0","261","13","0","1","99","114","7","100","1.93","0","0","28.4","6.53","1.102","0.78","0","1.7","1 tsp","5.6","1 tbsp","0"
"2042","SPICES,THYME,DRIED","7.79","276","9.11","7.43","11.74","63.94","37","1.71","1890","123.6","220","201","814","55","6.18","0.86","7.867","4.6","50","0.513","0.399","4.94","","0.55","274","0","274","274","43.6","0","3800","190","0","0","2264","33","0","1895","7.48","0","0","1714.5","2.73","0.47","1.19","0","1","1 tsp, leaves","2.7","1 tbsp, leaves","0"
"2047","SALT,TABLE","0.2","0","0","0","99.8","0","0","0","24","0.33","1","0","8","38758","0.1","0.03","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1 tsp","18","1 tbsp","0"
"2049","THYME,FRSH","65.11","101","5.56","1.68","3.2","24.45","14","","405","17.45","160","106","609","9","1.81","0.555","1.719","","160.1","0.048","0.471","1.824","0.409","0.348","45","0","45","45","","0","4751","238","0","","2851","","","","","0","0","","0.467","0.081","0.532","0","0.8","1 tsp","0.4",".5 tsp","32"
"2063","ROSEMARY,FRESH","67.77","131","3.31","5.86","2.35","20.7","14.1","","317","6.65","91","66","668","26","0.93","0.301","0.96","","21.8","0.036","0.152","0.912","0.804","0.336","109","0","109","109","","0","2924","146","0","","","","","","","0","0","","2.838","1.16","0.901","0","0.7","1 tsp","1.7","1 tbsp","35"
"4047","OIL,COCNT","0.03","892","0","99.06","0.03","0","0","0","1","0.05","0","0","0","0","0.02","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3","0","0","0","0","0","0","0","0","0","0.11","0","0","0.6","82.475","6.332","1.702","0","13.6","1 tbsp","218","1 cup","0"
"4053","OIL,OLIVE,SALAD OR COOKING","0","884","0","100","0","0","0","0","1","0.56","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3","0","0","0","0","0","0","0","0","0","14.35","0","0","60.2","13.808","72.961","10.523","0","13.5","1 tablespoon","216","1 cup","0"
"4058","OIL,SESAME,SALAD OR COOKING","0","884","0","100","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0.2","0","0","0","0","0","0","0","0","0","1.4","0","0","13.6","14.2","39.7","41.7","0","13.6","1 tablespoon","218","1 cup","0"
"4060","OIL,SUNFLOWER,LINOLEIC (LESS THAN 60%)","0","884","0","100","0","0","0","0","0","0.03","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","41.08","","","5.4","10.1","45.4","40.1","0","13.6","1 tbsp","218","1 cup","0"
"6001","SOUP,CRM OF ASPARAGUS,CND,COND","84.05","69","1.82","3.26","2.35","8.52","0.4","0.72","23","0.64","3","31","138","669","0.7","0.1","0.3","1.9","2.2","0.043","0.062","0.62","0.11","0.01","19","0","19","19","13","0.04","441","26","5","0","256","0","13","326","0.49","0","0","22","0.82","0.75","1.46","4","126",".5 cup,  (4 fl oz)","305","1 can,  (10.75 oz)","0"
"6002","SOUP,BLACK BEAN,CND,COND","75.33","91","4.83","1.32","3.1","15.42","6.8","2.49","35","1.5","33","75","250","970","1.1","0.3","0.5","","0.2","0.042","0.039","0.41","0.16","0.07","66","0","66","66","15.5","0","445","22","0","80","219","12","463","36","0.36","","","1.8","0.34","0.48","0.41","0","257","1 cup,  (8 fl oz)","312","1 can,  (11 oz), undiluted","0"
"6006","SOUP,BEAN W/ FRANKFURTERS,CND,COND","67.7","142","7.6","5.31","2.64","16.75","4.6","","66","1.78","37","126","363","831","0.9","0.3","0.6","6.9","0.7","0.083","0.049","0.78","0.07","0.1","24","0","24","24","","0.06","662","33","0","","","","","","","","","","1.61","2.08","1.25","9","263","1 cup,  (8 fl oz)","319","1 can,  (11.25 oz)","0"
"6009","SOUP,BF NOODLE,CND,COND","84.42","67","3.85","2.46","2.12","7.16","0.6","2.06","12","0.88","5","37","79","653","1.23","0.11","0.218","5.9","0.3","0.055","0.047","0.849","0.16","0.03","15","12","4","23","14","0.16","202","11","1","0","120","0","8507","4","1","0","0","1.6","0.91","0.99","0.39","4","125",".5 cup","305","1 can,  (10.75 oz)","0"
"6042","SOUP,MUSHROOM BARLEY,CND,COND","84.9","61","1.5","1.8","2.2","9.6","","","10","0.4","7","50","76","573","0.4","0.16","0.1","","0","0.02","0.07","0.7","0.1","0.14","5","0","5","5","","0","158","8","0","","","","","","","","","","0.35","0.8","0.57","0","126",".5 cup,  (4 fl oz)","305","1 can,  (10.75 oz)","0"
"6045","SOUP,ONION,CND,COND","86.35","46","3.06","1.42","2.49","6.68","0.7","2.72","22","0.55","2","9","56","516","0.5","0.1","0.2","3.5","1","0.027","0.02","0.49","0","0.04","12","0","12","12","4","0","11","3","3","0","1","0","0","1","0.22","0","0","0.4","0.21","0.61","0.53","0","123",".5 cup,  (4 fl oz)","298","1 can,  (10.5 oz)","0"
"6046","SOUP,CRM OF ONION,CND,COND","81","88","2.2","4.2","2.2","10.4","0.4","3.64","27","0.5","5","30","98","637","0.12","0.11","0.2","2.3","1","0.04","0.06","0.4","0.24","0.02","6","0","6","6","11.4","0.04","113","28","27","0","13","0","0","10","0.43","0","0","2.2","1.17","1.67","1.16","12","126",".5 cup","305","1 can,  (10.75 oz)","0"
"6053","SOUP,CRM OF POTATO,CND,COND","82","74","1.51","1.88","1.82","12.79","1.3","1.44","17","0.34","13","41","165","604","0.15","0.2","0.3","1.9","0.2","0.028","0.029","0.43","0.7","0.03","2","0","2","2","8.7","0.04","68","19","19","0","4","0","0","5","0.07","0","0","1.1","0.97","0.44","0.33","1","124",".5 cup","","","0"
"6068","SOUP,VEGETARIAN VEG,CND,COND","84.91","59","1.72","1.58","2.02","9.78","0.5","3.13","17","0.88","6","28","171","516","0.38","0.1","0.375","3.5","1.2","0.044","0.037","0.747","0.28","0.045","9","0","9","9","7.9","0","2842","142","0","410","1500","0","1930","160","1.17","0","0","4.2","0.24","0.68","0.59","0","126",".5 cup","298","1 can,  (10.5 oz)","0"
"6231","PREGO PASTA,MUSHRM & PARMESAN ITALIAN SAU,RTS","76.6","104","2.4","2.8","0.6","17.6","2.4","10.4","48","0.86","","","376","384","","","","","1","","","","","","","","","","","","600","","","","","","","","","","","","1.2","","","4","125","1 serving, 1/2 cup","","","0"
"6232","PREGO PASTA,ORGANIC MUSHROOM ITALIAN SAU,RTS","84.5","72","1.6","2.4","1.5","10.4","3.2","7.2","16","0.58","","","360","376","","","","","3.8","","","","","","","","","","","","600","","","","","","","","","","","","0.4","","","0","125","1 serving, 1/2 cup","","","0"
"6233","PREGO PASTA,ORGNIC TOMATO & BASIL ITAL SAU,RTS","83","72","1.6","2.4","2.5","10.4","3.2","7.2","32","0.58","","","320","376","","","","","4.8","","","","","","","","","","","","600","","","","","","","","","","","","0.385","","","0","125","1 serving, 1/2 cup","","","0"
"6234","PREGO PASTA,HEART SMRT- RICOTTA PMESAN ITLN SAU,RTS","83","72","2.4","2","2","10.4","2.4","8","48","0.58","","","328","288","","","","","1.9","","","","","","","","","","","","400","","","","","","","","","","","","0.8","","","4","125","1 serving, 1/2 cup","","","0"
"6235","PREGO PASTA,RSTD GARLIC & HERB ITAL SAU,RTS","83.5","69","1.54","2.31","2.5","10","2.3","6.92","15","0.55","","","308","354","","","","","1.8","","","","","","","","","","","","577","","","","","","","","","","","","0","","","0","130","1 serving, 1/2 cup","","","0"
"6236","PREGO PASTA,RSTD GARLIC PARMESAN ITAL SAU,RTS","83.7","77","2.31","0.77","2.9","10","2.3","7.69","31","0.55","","","308","369","","","","","0.9","","","","","","","","","","","","577","","","","","","","","","","","","0.385","","","4","130","1 serving, 1/2 cup","","","0"
"6237","PREGO PASTA,H ST- RSTD RED PR GRLIC ITLIAN SAU,RTS","83.5","56","1.6","1.2","2.9","10.4","2.4","7.2","16","0.58","","","328","288","","","","","1.9","","","","","","","","","","","","800","","","","","","","","","","","","0","","","0","125","1 serving, 1/2 cup","","","0"
"6239","PREGO PASTA,TOMATO,BASIL & GARLIC ITAL SAU,RTS","83.5","64","1.6","2","2.9","9.6","2.4","7.2","16","0.58","","","320","336","","","","","1","","","","","","","","","","","","400","","","","","","","","","","","","0","","","0","125","1 serving, 1/2 cup","","","0"
"6240","PREGO PASTA,ZESTY MUSHROOM ITALIAN SAU,RTS","80.2","85","1.54","2.69","1.72","13.85","2.3","9.23","15","0.28","","","354","408","","","","","0","","","","","","","","","","","","385","","","","","","","","","","","","0.769","","","0","130","1 serving, 1/2 cup","","","0"
"8020","CEREALS RTE,KELLOGG,KELLOGG'S CORN FLAKES","3.76","357","7.5","0.4","4","84.1","3.3","9.5","5","28.9","39","102","168","729","1","0.198","0.168","8.3","21","1.34","1.52","17.9","0.229","1.79","357","323","34","583","8.7","5","1786","490","481","54","83","0","0","339","0.12","3.6","143","0","0.116","0.067","0.196","0","28","1 cup,  (1 NLEA serving)","","","0"
"8023","CEREALS RTE,KELLOGG,KELLOGG'S CRACKLIN' OAT BRAN","3","395","9.2","14.1","3.3","70.3","12.7","28","59","3.7","153","278","403","280","3.1","0.4","","27.3","31","0.77","0.87","10.2","0.4","1.02","204","185","19","334","29.2","3.1","816","244","244","0","1","1","0","96","0","2","82","3","6.2","4.9","2.8","0","49",".75 cup,  (1 NLEA serving)","","","0"
"8025","CEREALS RTE,RALSTON CRISP RICE","3.62","394","6.69","1.26","2.22","86.22","0.7","12.12","5","32.73","23","98","106","545","1.3","0.149","1.1","18","64.5","2.05","1.288","28.967","0.317","1.937","606","602","4","1027","6","5.45","3788","1136","1136","0","0","0","0","0","0.06","7.6","303","0","0.36","0.243","0.293","0","33","1.25 cup,  (1 NLEA serving)","28","1 cup","0"
"8028","CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN COMPLETE WHEAT FLAKES","2.5","327","10.2","2.5","3.2","81.6","17.3","18.8","39","62.1","138","517","518","718","51.7","0.5","5.297","10.5","207","5.17","5.86","69","34.5","6.9","1379","1360","19","2331","35","21","2586","776","776","0","0","0","0","159","46.35","3.5","138","1.4","0.4","0.4","1.3","0","29",".75 cup,  (1 NLEA serving)","","","0"
"8029","CEREALS RTE,POST BRAN FLAKES","3.4","328","9.9","2.1","4.1","80.5","18.3","18.6","44","28","229","449","533","540","5","0.5","","52.5","0","1.3","1.4","16.7","","1.7","667","648","19","1120","33.5","5","2500","749","748","0","3","0","0","150","0.77","3.3","133","1.4","0.4","0.3","1.2","0","30",".75 cup,  (1 NLEA serving)","","","0"
"8030","CEREALS RTE,KELLOGG,KELLOGG'S FROOT LOOPS","2.5","375","5.3","3.4","1.45","88","9.3","41.7","10","15.5","31","74","117","469","5.2","0.089","0.56","5.9","52","1.29","1.47","17.2","0.347","1.72","345","326","19","573","10.5","5.2","1724","501","498","19","29","0","0","442","0.15","3.5","138","0.3","1.8","0.6","0.9","0","29","1 cup,  (1 NLEA serving)","","","0"
"8031","CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS,BIG BITE","4.8","350","9.2","1.6","1.4","83.4","10.8","20.3","28","28","86","368","363","2","2.7","0.35","3.466","4.1","0","0.65","0.73","8.6","0.525","0.86","345","326","19","573","25.3","2.6","6","0","0","0","4","0","0","167","0.67","0","0","1.6","0.4","0.2","0.9","0","58","7 biscuit,  (1 NLEA serving)","","","0"
"8032","CEREALS RTE,KELLOGG,KELLOGG'S FRSTD RICE KRISPIES","2.5","384","4.3","0.4","1.5","91.3","0.5","40.2","6","18","23","81","59","371","0.8","0.164","0.687","15.4","50","1.25","1.42","16.7","0.637","1.67","400","396","4","677","3.6","5","4167","1250","1250","0","0","0","0","0","11.25","5","200","0.1","0.1","0.1","0.1","0","30",".75 cup,  (1 NLEA serving)","","","0"
"8034","CEREALS RTE,POST,FRUITY PEBBLES","3","402","4.62","4.02","2.5","86.1","0.8","34.28","19","6.67","16","71","72","531","5.56","0.14","","10.2","22.2","1.39","1.57","18.52","","1.85","370","366","4","627","3.7","5.56","2778","833","833","0","0","0","0","0","0.13","7.4","296","1.3","3.6","0.16","0.12","0","27",".75 cup,  (1 NLEA serving)","","","0"
"8038","CEREALS RTE,POST,GRAPE-NUTS CRL","3.5","361","11.22","1.81","2.98","80.49","13","8.86","32","28","124","467","400","465","2.07","0.34","3.236","9.1","0.1","0.65","0.12","8.62","0.872","0.86","345","326","19","573","31.9","0","4","0","0","0","2","0","0","166","0.62","0","0","2","0.34","0.21","0.78","0","58",".5 cup,  (1 NLEA serving)","","","0"
"9003","APPLES,RAW,WITH SKIN","85.56","52","0.26","0.17","0.19","13.81","2.4","10.39","6","0.12","5","11","107","1","0.04","0.027","0.035","0","4.6","0.017","0.026","0.091","0.061","0.041","3","0","3","3","3.4","0","54","3","0","0","27","11","0","29","0.18","0","0","2.2","0.028","0.007","0.051","0","125","1 cup, quartered or chopped","109","1 cup, slices","10"
"9005","APPLES,RAW,WO/SKN,CKD,BLD","85.47","53","0.26","0.36","0.28","13.64","2.4","11.01","5","0.19","3","8","88","1","0.04","0.035","0.118","0.3","0.2","0.016","0.012","0.095","0.046","0.044","1","0","1","1","3.4","0","44","2","0","0","19","14","0","19","0.05","0","0","0.6","0.058","0.014","0.104","0","171","1 cup, slices","","","0"
"9021","APRICOTS,RAW","86.35","48","1.4","0.39","0.75","11.12","2","9.24","13","0.39","10","23","259","1","0.2","0.078","0.077","0.1","10","0.03","0.04","0.6","0.24","0.054","9","0","9","9","2.8","0","1926","96","0","19","1094","104","0","89","0.89","0","0","3.3","0.027","0.17","0.077","0","155","1 cup,  halves","165","1 cup, sliced","7"
"9037","AVOCADOS,RAW,ALL COMM VAR","73.23","160","2","14.66","1.58","8.53","6.7","0.66","12","0.55","29","52","485","7","0.64","0.19","0.142","0.4","10","0.067","0.13","1.738","1.389","0.257","81","0","81","81","14.2","0","146","7","0","24","62","28","0","271","2.07","0","0","21","2.126","9.799","1.816","0","150","1 cup, cubes","230","1 cup, pureed","26"
"9040","BANANAS,RAW","74.91","89","1.09","0.33","0.82","22.84","2.6","12.23","5","0.26","27","22","358","1","0.15","0.078","0.27","1","8.7","0.031","0.073","0.665","0.334","0.367","20","0","20","20","9.8","0","64","3","0","25","26","0","0","22","0.1","0","0","0.5","0.112","0.032","0.073","0","225","1 cup, mashed","150","1 cup, sliced","36"
"9042","BLACKBERRIES,RAW","88.15","43","1.39","0.49","0.37","9.61","5.3","4.88","29","0.62","20","22","162","1","0.53","0.165","0.646","0.4","21","0.02","0.026","0.646","0.276","0.03","25","0","25","25","8.5","0","214","11","0","0","128","0","0","118","1.17","0","0","19.8","0.014","0.047","0.28","0","144","1 cup","","","4"
"9044","CHERRIES,TART,DRIED,SWTND","16.6","333","1.25","0.73","0.97","80.45","2.5","67.15","38","0.68","22","36","376","13","0.25","0.229","","0.4","19.3","0.058","0.101","0.867","","0.101","11","0","11","11","14.7","0","2829","141","0","0","1697","0","0","173","0.17","0","0","5.1","0.146","0.177","0.194","0","40",".25 cup","","","0"
"9089","FIGS,RAW","79.11","74","0.75","0.3","0.66","19.18","2.9","16.26","35","0.37","17","14","232","1","0.15","0.07","0.128","0.2","2","0.06","0.05","0.4","0.3","0.113","6","0","6","6","4.7","0","142","7","0","0","85","0","0","9","0.11","0","0","4.7","0.06","0.066","0.144","0","64","1 large,  (2-1/2"" dia)","50","1 medium,  (2-1/4"" dia)","1"
"9094","FIGS,DRIED,UNCOOKED","30.05","249","3.3","0.93","1.86","63.87","9.8","47.92","162","2.03","68","67","680","10","0.55","0.287","0.51","0.6","1.2","0.085","0.082","0.619","0.434","0.106","9","0","9","9","15.8","0","10","0","0","0","6","0","0","32","0.35","0","0","15.6","0.144","0.159","0.345","0","149","1 cup","8.4","1 fig","4"
"9111","GRAPEFRUIT,RAW,PINK&RED&WHITE,ALL AREAS","90.89","32","0.63","0.1","0.31","8.08","1.1","6.98","12","0.09","8","8","139","0","0.07","0.047","0.012","0.3","34.4","0.036","0.02","0.25","0.283","0.042","10","0","10","10","7.7","0","927","46","0","4","552","6","1135","6","0.13","0","0","0","0.014","0.013","0.024","0","230","1 cup, sections with juice","166",".5 large,  (approx 4-1/2"" dia)","50"
"9148","KIWIFRUIT,GRN,RAW","83.07","61","1.14","0.52","0.61","14.66","3","8.99","34","0.31","17","34","312","3","0.14","0.13","0.098","0.2","92.7","0.027","0.025","0.341","0.183","0.063","25","0","25","25","7.8","0","87","4","0","0","52","0","0","122","1.46","0","0","40.3","0.029","0.047","0.287","0","180","1 cup, sliced","69","1 fruit,  (2"" dia)","24"
"9152","LEMON JUICE,RAW","92.31","22","0.35","0.24","0.21","6.9","0.3","2.52","6","0.08","6","8","103","1","0.05","0.016","0.012","0.1","38.7","0.024","0.015","0.091","0.131","0.046","20","0","20","20","5.1","0","6","0","0","0","1","4","0","15","0.15","0","0","0","0.04","0.006","0.021","0","244","1 cup","30.5","1 fl oz","0"
"9176","MANGOS,RAW","83.46","60","0.82","0.38","0.36","14.98","1.6","13.66","11","0.16","10","14","168","1","0.09","0.111","0.063","0.6","36.4","0.028","0.038","0.669","0.197","0.119","43","0","43","43","7.6","0","1082","54","0","9","640","10","3","23","0.9","0","0","4.2","0.092","0.14","0.071","0","165","1 cup, pieces","336","1 fruit, without refuse","29"
"9178","MANGO,DRIED,SWTND","16.6","319","2.45","1.18","1.19","78.58","2.4","66.27","0","0.23","20","50","279","162","0.3","0.3","10","2.1","42.3","0.062","0.085","2","","0.334","68","0","68","68","23.7","0","1343","67","0","11","786","29","0","52","4.02","0","0","13.2","0.287","0.439","0.222","0","","","","","0"
